巢氏诸病源候论,巢元方
巢氏诸病源候论,巢元方等
巢氏诸病源候总论,巢元方
巢氏诸病源候总论五十目,巢元方等
经史证类大观全本草,唐慎微
经史证类大全本草,唐慎微
内阁秘传字府,黄鍪等
孙真人备急千金要方,孙思邈
体仁汇编,彭用光
诸病源候总论,巢元方等
奇经八脉,脉诀考证一卷.濒湖脉学一卷.奇经八脉考一卷
[重刊脉学奇经八脉,李时珍
本草纲目,附
秘传花镜,陈扶摇
太平惠民和剂局方,袁元熙
太乙仙制本草药性大全八首,雷
轩岐救正论,萧京
药微,吉益东洞(为则，公言，东洞先生)尾台元逸(善长)
外台秘要,王寿
本草纲目启蒙,小野兰山
本草纲目启蒙,岩永霍斋
政和经史证类备用本草,唐慎微
植物名实图考卷之一至三八,吴其
经史证类备急本草卷一至三十,唐慎微
经史证类备急本草卷之一至三十,唐慎微
经史证类备急本草目录,唐慎微
经史证类备用本草,序目
经史证类备用本草,唐慎微
救荒本草,徐光启
杂病证治类方,王肯堂
产论,贺川玄迪
《伤寒辨舌金镜录》,
《伤寒世验精法》,张吾仁
医学入门,李梴
医学入门,卷首
类聚方集成,吉益
药性提要,多纪
医案类语,皆川淇
东医宝鉴,目录二卷
医事古言,吉益东洞（为则）
握灵本草,王翃
此事难知集,李杲
袖中家传书,撰者佚名
经络全书,徐师鲁
眼科方筌,中目道珣
医学警悟,
药种名寄账,本乡正丰
药种名寄账后集,冈本尚方
石药尔雅上下,梅彪
外科秘要集,大村安成
古方权量说,王丙
伤寒百问歌,钱闻礼
疹子心法；医藏目录,殷仲春
痘疹治术传；洛语,池田正直
肿病工案,竹越元通
脉诀玄微纲领宗统,张太素
图注八十一难经评林捷径统宗,扁鹊
图注八十一难经评林捷径统宗,王文洁
病机汇论,沈颋春
加减十三方,徐用和
备急千金要方,目录二卷
千金方衍义,序目
全幼心鉴,寇衡美
外科济世经验心方奇方,薛己
外科秘方,赵宜真
药名备考和训钞,丹波赖理（锦小路）
岭南卫生方,李璆
方舆輗,有持桂里
金兰方,菅原岑嗣
引经诀,冈本一抱（为竹）
〔新编〕金匮玉函要略方论,张仲景
〔新编〕名方类证医书大全,熊宗立
〔新编〕外治方鉴上下,附图
〔新编〕医学正传,虞搏（天民）
〔新编〕医学正传,虞搏
〔新订增补〕和兰药镜,宇田川榛斋（玄真）
〔新镌陶节庵家藏〕伤寒书,陶华
〔新刊〕补注释文黄帝内经素问,启玄子
〔新刊〕补注释文黄帝内经素问,附素问入式运气论奥三卷
〔新刊〕黄帝明堂灸经上中下,撰者佚名
〔新刊〕黄帝内经灵枢,史崧
〔新刊〕鲁府禁方,龚廷贤
〔新刊〕明医杂著,王纶（节斋）
〔新刊〕明医杂著,王纶
〔新刊〕素问入式运气论奥,刘温舒
〔新刊〕素问入式运气论奥上中下,回生菴玄璞
〔新刊〕外科正宗,陈实功（若虚）
〔新刊〕外科正宗,陈实功
〔新刊〕万病回春,龚廷贤
〔新刊〕万氏家传幼科发挥卷下,李之用
〔新刊〕温故秘录,野乔伯迁
〔新刊〕勿听子俗解八十难经,纂图隐括
〔新刊〕勿听子俗解八十一难经,熊宗立
〔新刊〕续添是斋百一选方,王璆（孟玉）
〔新刊〕医林状元济世全书,龚廷贤
〔新刊〕种杏仙方,龚廷贤
〔新刊〕注释素问玄机原病式,刘完素
〔新刊王氏〕脉经,王叔和
〔新刊医林状元〕寿世保元,龚廷贤
〔新刻〕褚氏遗书,褚澄
〔新刻〕脉诀刊误上下,戴起宗
〔新刻〕伤寒活人指掌补注辨疑,童养学
〔新刻〕食鉴本草,宁源
〔新刻〕幼科急救推拿奇法上中下,龚居中
〔新刻〕针医参补马经大全,马师问
〔新刻秘授〕外科百效全书,龚居中
〔新刻万氏家传〕广嗣纪要,万全
〔新锲〕云林神彀,龚廷贤
〔新锲御院秘传补遗〕痘疹辨疑金镜录,龚廷贤
〔新校正华先生〕中藏经,华佗
〔袖珍〕本草隽,附本草隽补正
〔袖珍〕医方大成,平住专安
〔药方书断简〕,阙名
〔医学质验五种〕产科发蒙,片仓元周（深甫）
〔医学质验五种〕青囊琐探,片仓元周（深甫）
〔医学质验信集〕青囊琐探,片仓鹤陵（元周）
〔影宋本〕扁鹊仓公传考异；扁鹊仓公传,堀川济
〔影宋本〕外台秘要方,王焘
〔渊々堂〕挨穴寸尺法,撰者佚名
〔元板翻刻〕千金方,序目三十卷
〔阅甫〕食物本草,名古屋玄医
〔增订〕本草备要,汪昂
〔增广〕太平和剂局方,附图
〔增广太平〕和剂局方；用药总论,陈师文
〔增修〕严氏济生方,严用和
〔张氏医通〕伤寒舌鉴,张登
〔真本〕千金方,孙思邈
〔重订〕古今方汇,甲贺通元
〔重广补注〕黄帝内经素问,启玄子（王冰）
〔重广补注〕黄帝内经素问,附仿宋椠本素问校
